0,1,2,3,accuracy,macro avg,weighted avg
precision,0.43478260869565216,0.3645833333333333,0.6333333333333333,0.3902439024390244,0.46621621621621623,0.45573579445033574,0.4615021528354972
recall,0.37037037037037035,0.5223880597014925,0.7215189873417721,0.2318840579710145,0.46621621621621623,0.46154036884616234,0.46621621621621623
f1-score,0.39999999999999997,0.42944785276073616,0.6745562130177515,0.2909090909090909,0.46621621621621623,0.44872828917189467,0.4545124129597937
support,81.0,67.0,79.0,69.0,0.46621621621621623,296.0,296.0
