0,1,2,3,accuracy,macro avg,weighted avg
precision,0.71875,0.42105263157894735,0.7121212121212122,0.4507042253521127,0.5574324324324325,0.5756570172630681,0.5871129852116926
recall,0.5679012345679012,0.5970149253731343,0.5949367088607594,0.463768115942029,0.5574324324324325,0.5559052461859559,0.5574324324324325
f1-score,0.6344827586206897,0.4938271604938272,0.6482758620689656,0.4571428571428572,0.5574324324324325,0.558432159581585,0.5649870724583369
support,81.0,67.0,79.0,69.0,0.5574324324324325,296.0,296.0
